PLAYER_NAME,HOF
Kareem Abdul-Jabbar,1
Michael Jordan,1
Bill Russell,1
Kobe Bryant,1
Wilt Chamberlain,1
Tim Duncan,1
Shaquille O'Neal,1
John Havlicek,1
Oscar Robertson,1
Bob Cousy,1
Kevin Garnett,1
Jerry West,1
Magic Johnson,1
Karl Malone,1
Hakeem Olajuwon,1
Dwyane Wade,1
Dirk Nowitzki,1
Larry Bird,1
Elvin Hayes,1
David Robinson,1
Moses Malone,1
Dolph Schayes,1
John Stockton,1
Bob Pettit,1
Isiah Thomas,1
Charles Barkley,1
Allen Iverson,1
Elgin Baylor,1
Paul Arizin,1
Jason Kidd,1
Sam Jones,1
George Mikan,1
Gary Payton,1
Patrick Ewing,1
Julius Erving,1
Scottie Pippen,1
Ray Allen,1
Clyde Drexler,1
Paul Pierce,1
Hal Greer,1
Bill Sharman,1
Robert Parish,1
Chris Bosh,1
Rick Barry,1
Walt Frazier,1
Slater Martin,1
Tom Heinsohn,1
Neil Johnston,1
Lenny Wilkens,1
Ed Macauley,1
Kevin McHale,1
Dave Cowens,1
Bob McAdoo,1
Tiny Archibald,1
Steve Nash,1
George Gervin,1
Dominique Wilkins,1
Vern Mikkelsen,1
Willis Reed,1
Dikembe Mutombo,1
Jerry Lucas,1
Tracy McGrady,1
Bob Lanier,1
Vince Carter,1
Tony Parker,1
Bailey Howell,1
Pau Gasol,1
Alonzo Mourning,1
Chet Walker,1
Dave Bing,1
Alex English,1
James Worthy,1
Grant Hill,1
Adrian Dantley,1
Jack Sikma,1
Jo Jo White,1
Chauncey Billups,1
Dave DeBusschere,1
Harry Gallatin,1
Tim Hardaway,1
Richie Guerin,1
Joe Dumars,1
Dennis Rodman,1
Gail Goodrich,1
Larry Costello,1
Mitch Richmond,1
Dick McGuire,1
Andy Phillip,1
George Yardley,1
Nate Thurmond,1
Artis Gilmore,1
Walt Bellamy,1
Bobby Wanzer,1
Cliff Hagan,1
Wes Unseld,1
Jim Pollard,1
Maurice Cheeks,1
Yao Ming,1
Dennis Johnson,1
Lou Hudson,1
Sidney Moncrief,1
Clyde Lovellette,1
Ben Wallace,1
Paul Westphal,1
Chris Mullin,1
Jack Twyman,1
Reggie Miller,1
Walter Davis,1
Carl Braun,1
Rudy Tomjanovich,1
Tom Gola,1
K.C. Jones,1
Joe Fulks,1
Frank Ramsey,1
Arnie Risen,1
Bob Davies,1
David Thompson,1
Manu Ginóbili,1
Jamaal Wilkes,1
Bob Dandridge,1
Billy Cunningham,1
Tom Sanders,1
Earl Monroe,1
Chris Webber,1
Bernard King,1
Bobby Jones,1
Pete Maravich,1
Spencer Haywood,1
Guy Rodgers,1
Wayne Embry,1
Gus Johnson,1
Doug Collins,1
Connie Hawkins,1
Don Nelson,1
Bill Walton,1